,Unnamed: 0,State,Incident ID,# Killed,# Injured,Operations,Danger Score,Number_Of_Shootings,Danger Score Normalized,Population,Unnamed: 10,Shooting_Per_Capita,Danger Score_Before,Danger Score After,Shooting_Per_Capita_Normalized,# Killed_Normalized,# Injured_Normalized,Danger Score Normalization
0,0,New Hampshire,2064260,0,4,0,4.0,1,0.006441167831568745,1377529.0,,7.259375301717786e-07,4,4.0000007259375305,0.014722546889479386,0.0,0.004188481675392671,0.018911028564872055
1,1,Maine,1613020,3,1,0,7.0,1,0.01554398985916113,1362359.0,,7.340209151919575e-07,7,7.000000734020915,0.014886483881354069,0.01485148514851485,0.0010471204188481676,0.04563657459723194
3,3,Rhode Island,4083870,0,13,0,13.0,2,0.017225934145517388,1097379.0,,1.8225243967672061e-06,13,13.000001822524396,0.036962134857907156,0.0,0.013612565445026177,0.05057470030293333
4,4,Idaho,3775827,5,6,0,16.0,2,0.02651350648160585,1839106.0,,1.0874848975534851e-06,16,16.000001087484897,0.02205499334363288,0.024752475247524754,0.0062827225130890054,0.0778426663517714
2,2,South Dakota,3884272,4,5,0,13.0,2,0.0308537858577944,886667.0,,2.2556382497600564e-06,13,13.00000225563825,0.04574600226267053,0.019801980198019802,0.005235602094240838,0.09058556475295097
8,8,Kansas,14875199,5,29,0,39.0,7,0.04366327672776,2937880.0,,2.382670497093142e-06,39,39.000002382670495,0.04832230964464972,0.024752475247524754,0.030366492146596858,0.1281937522862961
9,9,New Mexico,16278770,4,32,0,40.0,8,0.050999438533212316,2117522.0,,3.7780008897192096e-06,40,40.00000377800089,0.07662063598533625,0.019801980198019802,0.033507853403141365,0.14973244978451722
6,6,Utah,6121692,13,5,0,31.0,3,0.05195756116785681,3271616.0,,9.169780316516364e-07,31,31.00000091697803,0.01859698873044787,0.06435643564356436,0.005235602094240838,0.15254546211181744
14,14,Massachusetts,29348275,6,65,0,77.0,15,0.05815555483050513,7029917.0,,2.1337378520969735e-06,77,77.00000213373785,0.043273772565417874,0.0297029702970297,0.06806282722513089,0.17074254038460818
7,7,West Virginia,7471958,12,9,0,33.0,4,0.05908186594222756,1793716.0,,2.2300074259247283e-06,33,33.000002230007425,0.04522619030909608,0.0594059405940594,0.009424083769633508,0.17346215526684838
5,5,Alaska,7378729,6,12,0,24.0,4,0.062189100442006595,733391.0,,5.4541165626521185e-06,24,24.00000545411656,0.11061349427041045,0.0297029702970297,0.012565445026178011,0.18258487989064787
12,12,Connecticut,23086778,8,46,0,62.0,12,0.06637225847029163,3605944.0,,3.3278387018766793e-06,62,62.000003327838705,0.06749101581428103,0.039603960396039604,0.048167539267015703,0.19486647587337597
10,10,Nebraska,17411869,9,32,0,50.0,8,0.0699367889922309,1961504.0,,4.078503026249245e-06,50,50.000004078503025,0.0827150402716187,0.04455445544554455,0.033507853403141365,0.20533180456584915
13,13,Iowa,23451189,10,54,0,74.0,12,0.07896447259204942,3190369.0,,3.7613203989883303e-06,74,74.0000037613204,0.07628234336824731,0.04950495049504951,0.05654450261780105,0.23183674697614737
15,15,Oregon,31727465,12,63,0,87.0,15,0.0873903520970373,4237256.0,,3.540026847563612e-06,87,87.00000354002685,0.07179434742950738,0.0594059405940594,0.06596858638743455,0.25657481500506074
17,17,Nevada,29139120,13,73,0,99.0,14,0.10102545201720861,3104614.0,,4.509417273773809e-06,99,99.00000450941728,0.09145429806012828,0.06435643564356436,0.07643979057591622,0.2966069599231732
18,18,Washington,49159962,18,93,0,129.0,23,0.11448964256290241,7705281.0,,2.9849657656871957e-06,129,129.00000298496576,0.06053730055590522,0.0891089108910891,0.09738219895287958,0.336137321290963
11,11,Delaware,24208940,7,44,0,58.0,12,0.12303297828894792,989948.0,,1.2121848824382694e-05,58,58.000012121848826,0.24584000728261662,0.034653465346534656,0.04607329842931937,0.36122023640500533
19,19,Kentucky,46599100,16,98,0,130.0,23,0.12416931428691969,4505836.0,,5.104491153251028e-06,130,130.00000510449115,0.10352283389024942,0.07920792079207921,0.10261780104712041,0.3645564765215282
16,16,Oklahoma,26988503,30,31,0,91.0,12,0.13316151832361284,3959353.0,,3.0307982137485595e-06,91,91.00000303079821,0.061466816302919135,0.1485148514851485,0.032460732984293195,0.3909572522575093
23,23,New Jersey,71259947,21,157,0,199.0,35,0.1528406603016543,9288994.0,,3.7678999469694995e-06,199,199.00000376789995,0.07641578143920834,0.10396039603960396,0.1643979057591623,0.4487344792775786
20,20,Arkansas,44639319,21,110,0,152.0,23,0.1628067982934409,3011524.0,,7.637329139664835e-06,152,152.00000763732913,0.1548906506355938,0.10396039603960396,0.11518324607329843,0.47799468878810014
22,22,Minnesota,68078025,23,149,0,195.0,32,0.16944047118922673,5706494.0,,5.607646306120711e-06,195,195.0000056076463,0.11372719035747075,0.11386138613861387,0.15602094240837697,0.49747090504307545
21,21,Arizona,52341657,34,110,0,178.0,24,0.17707234681286096,7151502.0,,3.3559383749036215e-06,178,178.00000335593836,0.0680608978447917,0.16831683168316833,0.11518324607329843,0.5198778072844268
25,25,Wisconsin,77933104,42,152,0,236.0,37,0.2392141156206805,5893718.0,,6.277870776986615e-06,236,236.00000627787077,0.12731983543874223,0.2079207920792079,0.15916230366492146,0.7023237232620795
26,26,Indiana,75399948,54,131,0,239.0,36,0.26547470411131924,6785528.0,,5.305408805328045e-06,239,239.0000053054088,0.10759759160793904,0.26732673267326734,0.13717277486910995,0.7794238318235837
31,31,Tennessee,104257851,48,215,0,311.0,51,0.2895283279179906,6910840.0,,7.379710715339959e-06,311,311.0000073797107,0.1496659595649733,0.2376237623762376,0.225130890052356,0.8500443743698045
30,30,Virginia,103484475,58,188,0,304.0,49,0.3018596977806161,8631393.0,,5.67695156506024e-06,304,304.00000567695156,0.11513275196851362,0.2871287128712871,0.1968586387434555,0.8862488164545433
27,27,Colorado,78915508,62,154,0,278.0,38,0.3094714538234132,5773714.0,,6.581552186339677e-06,278,278.0000065815522,0.13347871771557626,0.3069306930693069,0.1612565445026178,0.908596648356808
29,29,Alabama,106757836,51,200,0,302.0,51,0.31343669379714917,5024279.0,,1.015071018150067e-05,302,302.0000101507102,0.20586386623831998,0.2524752475247525,0.2094240837696335,0.9202384450574584
32,32,Missouri,108116606,55,221,0,331.0,54,0.32490217603878296,6154913.0,,8.773479007745519e-06,331,331.000008773479,0.17793260536458483,0.2722772277227723,0.23141361256544501,0.9539006733755744
33,33,Maryland,122049694,60,217,0,337.0,59,0.345709505900009,6177224.0,,9.551215885970786e-06,337,337.0000095512159,0.1937056811203449,0.297029702970297,0.22722513089005236,1.0149902179509913
